id_candidat,nom,prenom,parti_code,parti_nom,nuance_officielle,bloc_analytique
1,ARTHAUD,Nathalie,LO,Lutte Ouvrière,DXG,EXTREME_GAUCHE
2,ROUSSEL,Fabien,PCF,Parti Communiste Français,COM,GAUCHE
3,MACRON,Emmanuel,RE,Renaissance,ENS,CENTRE
4,LASSALLE,Jean,RES,Résistons !,DVD,DROITE
5,LE PEN,Marine,RN,Rassemblement National,RN,EXTREME_DROITE
6,MÉLENCHON,Jean-luc,LFI,La France Insoumise,LFI,GAUCHE
7,HIDALGO,Anne,PS,Parti Socialiste,SOC,GAUCHE
8,JADOT,Yannick,EELV,Europe Écologie Les Verts,VEC,GAUCHE
9,PÉCRESSE,Valérie,LR,Les Républicains,LR,DROITE
10,POUTOU,Philippe,NPA,Nouveau Parti Anticapitaliste,DXG,EXTREME_GAUCHE
11,DUPONT-AIGNAN,Nicolas,DLF,Debout la France,DSV,EXTREME_DROITE
12,ZEMMOUR,Éric,REC,Reconquête !,REC,EXTREME_DROITE
